gpsc	stCount	st
21	74	347, 2715, 5179, 6088, 6095, 6170, 6277, 7142, 8670, 9547, 9548, 9927, 9930, 10536, 10553, 10572, 10598, 10619, 10622, 10632, 10655, 10709, 10752, 10784, 10794, 10798, 10842, 10896, 10932, 10933, 10935, 10941, 10943, 10949, 10974, 10975, 10988, 11086, 11115, 11747, 12130, 12146, 12157, 12183, 12254, 12261, 12332, 12336, 12339, 12585, 12598, 12601, 12609, 12700, 12740, 14799, 15738, 15743, 15831, 15842, 15856, 16301, 16685, 16900, 16909, 16910, 16929, 16932, 16968, 16969, 16971, 16973, 16974, 17139
22	70	840, 843, 2052, 4984, 5408, 5722, 5902, 7329, 8817, 9518, 10131, 10545, 10547, 10554, 10597, 10602, 10654, 10677, 10734, 10753, 10761, 10856, 10861, 10874, 10906, 10968, 10991, 11060, 11078, 11083, 11108, 11110, 11724, 11725, 11726, 11727, 11732, 11733, 11778, 12179, 12286, 12293, 12294, 12297, 12309, 12313, 12315, 12324, 12331, 12393, 12492, 12540, 12565, 12575, 12583, 12616, 12737, 14527, 14821, 15056, 15729, 15760, 15761, 15787, 15806, 15807, 15809, 15855, 15921, 16859
23	94	90, 93, 94, 95, 104, 145, 146, 147, 238, 273, 384, 624, 640, 641, 788, 1060, 1121, 1129, 1394, 1509, 1518, 1536, 1624, 1661, 1792, 2051, 2156, 2456, 3051, 3246, 3387, 3808, 4039, 4236, 5127, 5497, 5628, 6410, 6453, 6457, 6467, 6500, 6863, 6917, 7415, 7416, 7417, 7418, 7460, 8052, 8526, 9481, 9482, 9485, 9908, 9922, 9924, 9965, 10060, 10631, 10904, 10911, 10912, 10927, 10929, 10965, 11237, 11305, 11700, 12495, 12721, 12732, 12756, 12757, 12768, 12769, 12771, 12779, 13905, 13942, 14563, 15603, 15621, 15883, 15944, 15954, 15981, 15994, 15995, 15998, 15999, 16003, 16038, 16081
24	28	138, 176, 342, 469, 639, 1770, 1892, 2459, 2624, 3797, 4241, 4598, 6325, 6389, 6774, 7430, 9505, 10723, 10725, 10742, 12172, 12358, 12384, 12760, 12763, 12821, 15574, 16906
25	34	1210, 1725, 4209, 5585, 6038, 7522, 7523, 8501, 8687, 8803, 11019, 12177, 12463, 12615, 12785, 14439, 14474, 15689, 15716, 15782, 16138, 16162, 16268, 16269, 16272, 16285, 16718, 16729, 16730, 16733, 16825, 16827, 16831, 17065
26	32	989, 2211, 3334, 3377, 3775, 4187, 5026, 5953, 6058, 7110, 8798, 9544, 9929, 10232, 11027, 11075, 11105, 11780, 12212, 12342, 12416, 12421, 12784, 12813, 12828, 15695, 15772, 15788, 16070, 16824, 17071, 17073
27	22	205, 206, 244, 246, 247, 695, 853, 899, 2365, 5660, 9557, 9558, 9560, 9561, 9934, 10612, 12714, 15812, 15900, 16693, 16871, 17132
28	4	4396, 4889, 14510, 15653
29	10	327, 395, 1398, 1692, 2611, 9451, 9453, 9743, 11310, 13915
30	44	3735, 4084, 4900, 5521, 7055, 7062, 7533, 7535, 8151, 8157, 8714, 8774, 8841, 9174, 9475, 10177, 10534, 10555, 10586, 10810, 10892, 10910, 10997, 11050, 11690, 11830, 12133, 12180, 12182, 12245, 12255, 12491, 12600, 12681, 14515, 14516, 15660, 15749, 15936, 16130, 16262, 16274, 16708, 16709
31	9	227, 304, 306, 4752, 5316, 5784, 8415, 13923, 15186
32	20	218, 220, 405, 1176, 2178, 2233, 2331, 3523, 3544, 3545, 4666, 5265, 5455, 6057, 10663, 11741, 11901, 12241, 12469, 17111
